year,category,nominee,workers,winner
2010,Best Instrumental Soloist(s) Performance (with orchestra),Prokofiev: Piano Concertos Nos. 2 & 3,"The Philharmonia Orchestra (artist), Jonathan Stokes (engineer/mixer), Tim Martyn (engineer/mixer), Neil Hutchinson (engineer/mixer), Jay David Saks (producer), Evgeny Kissin (producer)",True
2010,"Best Jazz Instrumental Album, Individual or Group",Five Peace Band - Live,"Brian Vibberts (engineer/mixer), Buck Snow (engineer/mixer), Sven Hofmann (engineer/mixer), Chick Corea (artist), John McLaughlin Five Peace Band (artist), Bernie Kirsch (engineer/mixer)",True
2010,Best Jazz Vocal Album,Dedicated To You: Kurt Elling Sings The Music Of Coltrane And Hartman,"Dave O'Donnell (engineer/mixer), Rob Macomber (engineer/mixer), Laurence Hobgood (producer), Kurt Elling (artist/producer)",True
2010,Best Large Jazz Ensemble Album,Book One,"New Orleans Jazz Orchestra (artist), Masanori Yusa (engineer/mixer)",True
2010,Best Latin Jazz Album,Juntos Para Siempre,"Jose Loeches (engineer/mixer), Javier Limón (engineer/mixer), Fernando Trueba producer, Bebo Valdés (artist), Chucho Valdés (artist), Nat Chediak producer",True
2010,Best Latin Pop Album,Sin Frenos,"Pepe Ortega (engineer/mixer), Juan Carlos Moguel (engineer/mixer), Armando Ávila (producer/engineer/mixer), La Quinta Estación (artist)",True
2010,"Best Latin Rock, Alternative or Urban Album",Los De Atras Vienen Conmigo,"Carlos Velázquez (engineer/mixer), Edgardo Matta (engineer/mixer), Ramón Martínez (engineer/mixer), Calle 13 (producer/artist), Rafael Arcante (producer), Iván Gutiérrez (engineer/mixer)",True
2010,Best Long Form Music Video,All Together Now,"Adrian Wills (video director), Martin Bolduc (video producer), Jonathan Clyde (video producer)",True
2010,Best Long Form Music Video,Chris Botti in Boston,"Chris Botti, Jim Gable (video director), Bobby Colomby (video producer)",False
2010,Best Long Form Music Video,"Keith Urban: Love, Pain & the Whole Crazy World Tour","Keith Urban, Chris Hicky (video director), Blake Morrison (video producer)",False
2010,Best Male Country Vocal Performance,Sweet Thing,Keith Urban (artist),True
2010,Best Male Pop Vocal Performance,Make It Mine.,Jason Mraz,True
2010,Best Male Pop Vocal Performance,Love You.,Maxwell,False
2010,Best Male Pop Vocal Performance,All About the Love Again.,Stevie Wonder,False
2010,Best Male R&B Vocal Performance,Pretty Wings,Maxwell (artist),True
2010,Best Metal Performance,Dissident Aggressor,Judas Priest (artist),True
2010,Best Musical Album for Children,Family Time,"Ziggy Marley (producer/artist), Don Was (producer)",True
2010,Best Musical Show Album,Best Musical Show Album,"Josefina Scaglione (artist), Matt Cavenaugh (artist), Todd Whitelock (engineer/mixer), David Lai (producer), David Caddick (producer)",True
2010,Best Native American Music Album,Spirit Wind North,"Mike von Muchow (producer), Bill Miller (producer/artist)",True
2010,Best New Age Album,Prayer For Compassion,"David Darling (producer/engineer/mixer), Mickey Houlihan (producer/engineer/mixer)",True
2010,Best New Artist,Zac Brown Band,,True
2010,Best New Artist,MGMT,,False
2010,Best New Artist,The Ting Tings,,False
2010,Best Norteño Album,Tu Noche Con...Los Tigres Del Norte,"Los Tigres del Norte (artist/producer), Joseph Pope (engineer/mixer), Alfonso Ródenas (engineer/mixer)",True
2010,Best Opera Recording,Britten: Billy Budd,"Jonathan Stokes (engineer/mixer), Neil Hutchinson (engineer/mixer), Daniel Harding (conductor), John Fraser (producer), Ian Bostridge (soloist), Neal Davies (soloist), Nathan Gunn (soloist), Jonathan Lemalu (soloist), Matthew Rose (soloist)",True
2010,Best Orchestral Performance,Ravel: Daphnis Et Chloé,"Boston Symphony Orchestra (artist), Marc Donahue (engineer), Dirk Sobotka (engineer/mixer), James Levine (conductor), Elizabeth Ostrow (producer), Jesse Lewis (engineer/mixer), John Newton (engineer/mixer)",True
2010,Best Pop Collaboration with Vocals,Lucky.,"Colbie Caillat, Jason Mraz",True
2010,Best Pop Collaboration with Vocals,Breathe.,"Colbie Caillat, Taylor Swift",False
2010,Best Pop Collaboration with Vocals,Sea of Heartbreak.,"Rosanne Cash, Bruce Springsteen",False
2010,Best Pop Instrumental Album,Potato Hole,"Booker T. Jones (producer/artist), Rob Schnapf (producer/engineer/mixer), Doug Boehm (engineer/mixer)",True
2010,Best Pop Instrumental Performance,Throw Down Your Heart,Bela Fleck (artist),True
2010,Best Pop Performance By A Duo Or Group With Vocals,I Gotta Feeling.,The Black Eyed Peas,True
2010,Best Pop Performance By A Duo Or Group With Vocals,Sara Smile.,"Daryl Hall, John Oates",False
2010,Best Pop Performance By A Duo Or Group With Vocals,Never Say Never.,The Fray,False
2010,Best Pop Vocal Album,The E.N.D.,The Black Eyed Peas,True
2010,Best Pop Vocal Album,All I Ever Wanted.,Kelly Clarkson,False
2010,Best Pop Vocal Album,The Fray.,The Fray,False
2010,Best Pop/Contemporary Gospel Album,The Power Of One,"Israel Houghton (producer), Aaron Lindsey (producer), Tommy Sims (producer/engineer/mixer), Danny Duncan (engineer/mixer)",True
2010,Best R&B Album,Blacksummers' Night.,Maxwell,True
2010,Best R&B Album,Uncle Charlie.,Charlie Wilson,False
2010,Best R&B Album,Turn Me Loose.,Ledisi Young,False
2010,Best R&B Performance by a Duo or Group with Vocals,Blame It,"Jamie Foxx (artist), T-Pain (artist)",True
2010,Best R&B Song,Single Ladies (Put a Ring on It).,"Beyoncé (Songwriter), Kuk Harrell (Songwriter), The-Dream (Songwriter), Christopher Stewart (Songwriter)",True
2010,Best R&B Vocal Performance - Male,Pretty Wings.,Maxwell,True
2010,Best R&B Vocal Performance - Male,There Goes My Baby.,Charlie Wilson,False
2010,Best R&B Vocal Performance - Male,Under.,Pleasure P.,False
2010,Best R&B Vocal Performance by a Duo or Group,Blame It.,"Jamie Foxx, T-Pain",True
2010,Best R&B Vocal Performance by a Duo or Group,Chocolate High.,"India Arie, Musiq",False
2010,Best R&B Vocal Performance by a Duo or Group,Higher Ground.,"Robert Randolph, The Clark Sisters",False
2010,Best Rap Album,Relapse.,Eminem,True
2010,Best Rap Album,R.O.O.T.S (Route of Overcoming the Struggle).,Flo Rida,False
2010,Best Rap Album,The Ecstatic.,Yasiin Bey,False
2010,Best Rap Performance by a Duo or Group,Crack a Bottle.,"50 Cent, Dr. Dre, Eminem",True
2010,Best Rap Performance by a Duo or Group,Make Her Say.,"Common, Kid Cudi, Kanye West",False
2010,Best Rap Performance by a Duo or Group,Amazing.,"Jeezy, Kanye West",False
2010,Best Rap Solo Performance,D.O.A (Death of Autotune).,Jay-Z,True
2010,Best Rap Solo Performance,Day 'N' Nite.,,False
2010,Best Rap Solo Performance,Best I Ever Had.,,False
2010,Best Rap Song,Run This Town.,"Jeff Bhasker (Songwriter), Jay-Z (Songwriter), Rihanna (Songwriter), Kanye West (Songwriter), No I.D. (Songwriter)",True
2010,Best Rap Song,Day N Nite.,"Dot Da Genius (Songwriter), Kid Cudi (Songwriter)",False
2010,Best Rap Song,Dead and Gone (Shared with songwriter Robin Tadross).,"T.I. (Songwriter), Justin Timberlake (Songwriter)",False
2010,Best Rap/Sung Collaboration,Run This Town.,"Jay-Z, Rihanna, Kanye West",True
2010,Best Rap/Sung Collaboration,Dead and Gone.,"Justin Timberlake, T.I.",False
2010,Best Rap/Sung Collaboration,I'm On a Boat.,"The Lonely Island, T-Pain",False
2010,Best Recording Package,Everything That Happens Will Happen Today,"David Byrne (artist), Stefan Sagmeister (art director), Brian Eno (artist)",True
2010,Best Regional Mexican Album,Necesito De Ti,"Sabas Sánchez (engineer/mixer), Manuel Salazar (engineer/mixer), Vicente Fernández (artist), Manuel Cázares (producer), Gustavo Borner (engineer/mixer), Óscar Iglesias (engineer/mixer)",True
2010,"Best Remixed Recording, Non-Classical",When Love Takes Over (Electro Extended Remix),"David Guetta (remixer/artist), Kelly Rowland (artist)",True
2010,Best Rock Album,21st Century Breakdown.,Green Day,True
2010,Best Rock Album,Big Whiskey & the GrooGrux King.,Dave Matthews Band,False
2010,Best Rock Album,No Line On the Horizon.,U2,False
2010,Best Rock Instrumental Performance,A Day In The Life,Jeff Beck (artist),True
2010,Best Rock Performance by a Duo or Group with Vocals,Use Somebody,Kings of Leon (artist),True
2010,Best Rock Song,Use Somebody,"Kings of Leon (artist), Nathan Followill (songwriter), Caleb Followill (songwriter), Jared Followill (songwriter), Matthew Followill (songwriter)",True
2010,Best Rock or Rap Gospel Album,Live Revelations,"Don McCollister (engineer/mixer), David Jaques (engineer/mixer), Chris Briggs (engineer/mixer), Third Day (producer)",True
2010,"Best Score Soundtrack Album for Motion Picture, Television or Other Visual Media",Up,Michael Giacchino,True
2010,"Best Score Soundtrack Album for Motion Picture, Television or Other Visual Media",Milk,Danny Elfman,False
2010,"Best Score Soundtrack Album for Motion Picture, Television or Other Visual Media",(Disc 1).,The Curious Case of Benjamin Button,False
2010,Best Short Form Music Video,Boom Boom Pow,"Patrick Nugent (video producer), Anna Joseph (video producer), The Black Eyed Peas (artist), Mathew Cullen (video director), Mark Kudsi (video director), Javier Jiménez (video producer)",True
2010,Best Short Form Music Video,Depeche Mode: Wrong,"Jonathan Lia (Producer), Patrick Daughters (Director)",False
2010,Best Small Ensemble Performance,"Lang, David: The Little Match Girl Passion","Robina G. Young (producer), Paul Hillier (conductor), Ars Nova Copenhagen (ensemble), Theatre of Voices (ensemble), Brad Michel (engineer/mixer)",True
2010,Best Solo Rock Vocal Performance,Working On A Dream.,Bruce Springsteen,True
2010,Best Solo Rock Vocal Performance,Change in the Weather.,John Fogerty,False
2010,Best Solo Rock Vocal Performance,Dreamer.,Prince,False
2010,"Best Song Written for Motion Picture, Television or Other Visual Media",Jai Ho.,Slumdog Millionaire,True
2010,"Best Song Written for Motion Picture, Television or Other Visual Media",The Climb.,Hannah Montana: The Movie,False
2010,"Best Song Written for Motion Picture, Television or Other Visual Media",Decode.,Twilight,False
2010,"Best Southern, Country, or Bluegrass Gospel Album",Jason Crabb,"Ben Fowler (engineer/mixer), Jason Crabb (artist), Paul Corley (engineer/mixer)",True
2010,Best Spoken Word Album,Always Looking Up.,Michael J. Fox,True
2010,"Best Spoken Word Album (includes poetry, audio books & story telling)",Always Looking Up,"Lance Neal (engineer/mixer), Zane Birdwell (engineer/mixer), Michael J. Fox (artist), Paul Ruben (producer)",True
2010,Best Spoken Word Album for Children,"Aaaaah! Spooky, Scary Stories & Songs","Buck Howdy (producer), Steve Wetherbee (engineer/mixer)",True
2010,Best Surround Sound Album,Transmigration,"Atlanta Symphony Orchestra (artist), Atlanta Symphony Chorus (artist), Robert Spano (artist), Michael Bishop (surround mix engineer/surround mastering engineer), Elaine Martone (surround producer)",True
2010,Best Tejano Album,Borders Y Bailes,"Joe Treviño (engineer/mixer), Los Texmaniacs (artist), Dan Sheehy (producer), Pete Reiniger (engineer/mixer)",True
2010,Best Traditional Blues Album,A Stranger Here,"Ryan Freeland (engineer/mixer), Ramblin' Jack Elliott (artist), Joe Henry (producer)",True
2010,Best Traditional Folk Album,High Wide & Handsome: The Charlie Poole Project,"Alex Venguer (engineer/mixer), Loudon Wainwright III (artist), Dick Connette (producer), Scott Lehrer (engineer/mixer)",True
2010,Best Traditional Gospel Album,Oh Happy Day (Various Artists),,True
2010,Best Traditional Pop Vocal Album,Michael Bublé Meets Madison Square Garden,"Michael Bublé (artist), Humberto Gatica (producer/engineer/mixer)",True
2010,Best Traditional R&B Performance,At Last.,Beyoncé,True
2010,Best Traditional R&B Performance,Soul Music.,Anthony Hamilton,False
2010,Best Traditional R&B Performance,Woman Gotta Have It.,Calvin Richardson,False
2010,Best Traditional R&B Vocal Performance,At Last,Beyoncé (artist),True
2010,Best Traditional World Music Album,Douga Mansa,"Mamadou Diabate (producer), Mamadou Diabate (producer/artist)",True
2010,Best Tropical Latin Album,Ciclos,"Carlos Alvarez (engineer/mixer), Luis Enrique (artist), Sergio George (producer), Juan Mario Aracil (engineer/mixer)",True
2010,Best Urban/Alternative Performance,Pearls.,"India Arie, Dobet Gnahoré",True
2010,Best Zydeco or Cajun Music Album,Lay Your Burden Down,"David Farrell (engineer/mixer), Buckwheat Zydeco (artist), Steven Maxwell (producer)",True
2010,Producer of the Year (Non-Classical),Brendan O'Brien,,True
2010,Producer of the Year (Non-Classical),Larry Klein,,False
2010,"Producer of the Year, Classical",Steven Epstein (producer),,True
2010,"Producer of the Year, Non-Classical",Brendan O'Brien,,True
2010,Record of the Year,Use Somebody.,"Jacquire King (Engineer/Mixer/Producer), Kings of Leon (Artist), Angelo Petraglia (Engineer/Mixer)",True
2010,Record of the Year,Poker Face (Shared with Engineer/Mixer Dave Russell).,"Lady Gaga (Artist/Producer), RedOne (Engineer/Mixer/Producer), Robert Orton (Engineer/Mixer)",False
2010,Record of the Year,I Gotta Feeling (Shared with Engineer/Mixer Padriac Padlock Kerin).,"The Black Eyed Peas (Artist), Dylan Dresdow (Engineer/Mixer), David Guetta (Producer), Will.i.am (Engineer/Mixer), Fred Riesterer (Producer)",False
2010,Song of the Year,Single Ladies (Put a Ring on It).,"Beyoncé (Songwriter), The-Dream (Songwriter), Christopher Stewart (Songwriter), Kuk Harrell (Songwriter)",True
2010,Song of the Year,Poker Face.,"Lady Gaga, RedOne",False
2010,Song of the Year,Pretty Wings (Songwriters: Hod David and Musze).,,False
2010,Best Musical Theater Album,"9 To 5: The Musical (nominated as album producer, show composer, show lyricist).","Dolly Parton, Alex Lacamoire, Stephen Oremus",False
2011,Album of the Year,The Suburbs.,"Arcade Fire (Artist/Producers), Markus Dravs (Producer), Mark Lawson (Mastering Engineer/Mixer), Craig Silvey (Engineer/Mixer)",True
2011,Album of the Year,"The Fame Monster (Shared with Engineer/Mixers Jonas Wetling, Hisashi Mizoguchi, Christian Delano, Paul Foley and Mike Donaldson and Mastering Engineer Gene Grimaldi).","Lady Gaga (Artist/Producer), Beyoncé (Featured Artist), Ron Fair (Producer), Fernando Garibay (Producer), Tal Herzberg (Producer), RedOne (Producer/Engineer/Mixer), Rodney Jerkins (Producer/Engineer/Mixer), Teddy Riley (Producer/Engineer/Mixer), Space Cowboy (Producer/Engineer/Mixer), Victor Alexander (Engineer/Mixer), Eelco Bakker (Engineer/Mixer), Robert Orton (Engineer/Mixer), Dan Parry (Engineer/Mixer), Jack Joseph Puig (Engineer/Mixer), Dave Russell (Engineer/Mixer), Johnny Severin (Engineer/Mixer), Mark Stent (Engineer/Mixer), Frank Wolf (Engineer/Mixer)",False
2011,Best Album Notes,Keep An Eye On The Sky,Robert Gordon (album notes writer),True
2011,Best Alternative Music Album,Brothers.,The Black Keys,True
2011,Best Alternative Music Album,Infinite Arms.,Band of Horses,False
2011,Best Alternative Music Album,Contra.,Vampire Weekend,False
2011,Best Americana Album,You Are Not Alone,"Tom Schick (engineer/mixer), Mavis Staples (artist), Jeff Tweedy (producer)",True
2011,Best Banda Album,Enamórate De Mí,"El Güero Y Su Banda Centanario (artist), Ramon Gonzalez Mora (producer), Michael Esparza (engineer/mixer), Rafael Guevara (engineer/mixer), Abelardo Rivera (engineer/mixer)",True
2011,Best Bluegrass Album,Mountain Soul II,"Patty Loveless (artist), Emory Gordy Jr. (producer), Drew Bollman (engineer/mixer), George Massenburg (engineer/mixer)",True
2011,Best Boxed or Special Limited Edition Package,Under Great White Northern Lights (Limited Edition Box Set),"The White Stripes (artist), Rob Jones (art director), Jack White (art director)",True
2011,Best Chamber Music Performance,Ligeti: String Quartets Nos. 1 & 2,"Parker Quartet (ensemble), Norbert Kraft (producer/engineer/mixer), Bonnie Silver (producer)",True
2011,Best Choral Performance,Verdi: Requiem,"Chicago Symphony Orchestra (artist), Olga Borodina (artist), Mario Zeffiri (artist), Ildar Abdrazakov (artist), Barbara Frittoli (artist), Christopher Willis (engineer/mixer), Duain Wolfe (chorus master), Riccardo Muti (conductor), Christopher Alder (producer), David Frost (engineer/mixer), Tom Lazarus (engineer/mixer)",True
2011,Best Classical Album,Verdi: Requiem,"Duain Wolfe (chorus master), Riccardo Muti (conductor), Christopher Alder (producer)",True
2011,Best Classical Contemporary Composition,"Daugherty, Michael: Deus Ex Machina",Michael Daugherty (composer),True
2011,Best Classical Crossover Album,Calling All Dawns,Christopher Tin,True
2011,Best Classical Vocal Performance,Sacrificium,"Il Giardino Armonico (artist), Giovanni Antonini (artist), Philip Siney (engineer/mixer), Cecilia Bartoli (soloist), Arend Prohmann (producer)",True
2011,Best Comedy Album,Stark Raving Black,Louis C.K.: Hilarious,True
2011,Best Comedy Album,Kathy Griffin: Kathy Griffin Does the Bible Belt,Kathy Griffin,False
2011,"Best Compilation Soundtrack Album for Motion Picture, Television or Other Visual Media","The Music, Volume 1.",Crazy Heart,True
2011,"Best Compilation Soundtrack Album for Motion Picture, Television or Other Visual Media",The Twilight Saga: Eclipse,,False
2011,"Best Compilation Soundtrack Album for Motion Picture, Television or Other Visual Media",Volume 2.,True Blood,False
2011,Best Contemporary Blues Album,Living Proof,"Buddy Guy (artist), Tom Hambridge (producer/engineer/mixer), Ducky Carlisle (engineer/mixer), Vance Powell (engineer/mixer)",True
2011,Best Contemporary Folk Album,God Willin' & The Creek Don't Rise,"Ryan Freeland (engineer/mixer), Ray LaMontagne (artist), The Pariah Dogs (artist)",True
2011,Best Contemporary Jazz Album,The Stanley Clarke Band,"Gerry Brown (engineer/mixer), Lenny White (producer), The Stanley Clarke Band (artist)",True
2011,Best Contemporary R&B Album,Raymond v. Raymond.,Usher Raymond,True
2011,Best Contemporary R&B Album,The ArchAndroid.,Janelle Monáe,False
2011,Best Contemporary R&B Album,Transition.,Ryan Leslie,False
2011,Best Contemporary R&B Gospel Album,Still,"BeBe Winans (producer), CeCe Winans (artist/producer), Bebe (artist/producer), Ron Gillyard (producer)",True
2011,Best Contemporary World Music Album,"Throw Down Your Heart , Africa Sessions Part 2: Unreleased Tracks","Bela Fleck (producer/artist), Wellington Bowler (engineer/mixer), Dave Sinko (engineer/mixer)",True
2011,Best Country Album,Need You Now.,Lady Antebellum,True
2011,Best Country Album,The Guitar Song.,Jamey Johnson,False
2011,Best Country Album,You Get What You Give.,Zac Brown Band,False
2011,Best Country Collaboration with Vocals,As She's Walking Away,"Zac Brown Band (artist), Alan Jackson (artist)",True
2011,Best Country Instrumental Performance,Hummingbyrd,Marty Stuart (artist),True
2011,Best Country Performance by a Duo or Group with Vocals,Need You Now,Lady Antebellum (artist),True
2011,Best Country Song,Need You Now.,"Hillary Scott (Songwriter), Josh Kear (Songwriter), Dave Haywood (Songwriter), Charles Kelley (Songwriter)",True
2011,Best Country Song,I'd Love to Be Your Last.,"Rivers Rutherford (Songwriter), Annie Tate (Songwriter), Sam Tate (Songwriter)",False
2011,Best Country Song,Free.,Zac Brown (Songwriter),False
2011,Best Country Vocal Performance - Female,The House That Built Me.,Miranda Lambert,True
2011,Best Country Vocal Performance - Female,I'd Love to Be Your Last.,Gretchen Wilson,False
2011,Best Country Vocal Performance - Female,Swingin'.,LeAnn Rimes,False
2011,Best Country Vocal Performance - Male,'Til Summer Comes Around.,Keith Urban,True
2011,Best Country Vocal Performance - Male,Turning Home.,David Nail,False
2011,Best Country Vocal Performance - Male,Cryin' For Me (Wayman's Song).,Toby Keith,False
2011,Best Country Vocal Performance by a Duo or Group,Need You Now.,Lady Antebellum,True
2011,Best Country Vocal Performance by a Duo or Group,Little White Church.,Little Big Town,False
2011,Best Country Vocal Performance by a Duo or Group,Free.,Zac Brown Band,False
2011,Best Dance Recording,Only Girl (In the World).,"Rihanna (Artist), Crystal Nicole Johnson (Producer), Sandy Vee (Producer/Mixer), Mikkel Storleer Eriksen (Producer/Mixer), Tor Erik Hermansen (Producer/Mixer)",True
2011,Best Dance Recording,In For the Kill.,"La Roux (Artist), Ben Langmaid (Producer), Elly Jackson (Producer), Serban Ghenea (Mixer), John Hanes (Mixer)",False
2011,Best Dance Recording,Dancing On My Own.,"Patrik Berger (Producer), Robyn Carlsson (Artist/Producer), Niklas Flyckt (Mixer)",False
2011,Best Electronic/Dance Album,La Roux.,La Roux,True
2011,Best Electronic/Dance Album,Head First.,Goldfrapp,False
2011,Best Electronic/Dance Album,Further.,The Chemical Brothers,False
2011,"Best Engineered Album, Classical",Daugherty: Metropolis Symphony; Deus Ex Machina,"Nashville Symphony (artist), Giancarlo Guerrero (artist), Marc Donahue (engineer), John Hill (engineer), Dirk Sobotka (engineer)",True
2011,"Best Engineered Album, Non-Classical",Battle Studies,"John Mayer (artist), Manny Marroquin (engineer), Michael Brauer (engineer), Joe Ferla (engineer), Chad Franscoviak (engineer)",True
2011,Best Female Country Vocal Performance,The House That Built Me,Miranda Lambert (artist),True
2011,Best Female Pop Vocal Performance,Bad Romance.,Lady Gaga,True
2011,Best Female Pop Vocal Performance,Teenage Dream.,Katy Perry,False
2011,Best Female Pop Vocal Performance,King of Anything.,Sara Bareilles,False
2011,Best Female R&B Vocal Performance,Bittersweet,Fantasia Barrino (artist),True
2011,Best Gospel Performance,Grace,"Bebe (artist), CeCe Winans (artist)",True
2011,Best Gospel Song,It's What I Do,"Lalah Hathaway (artist), Jerry Peters (songwriter), Kirk Whalum (songwriter/artist)",True
2011,Best Hard Rock Performance,New Fang.,Them Crooked Vultures,True
2011,Best Hard Rock Performance,Let Me Hear You Scream.,Ozzy Osbourne,False
2011,Best Hard Rock Performance,Between the Lines.,Stone Temple Pilots,False
2011,Best Hawaiian Music Album,Huana Ke Aloha,"Amy Kuleialoha Stillman (producer), Tia Carrere (artist), Daniel Ho (producer/engineer/mixer)",True
2011,Best Historical Album,The Beatles (The Original Studio Recordings),"The Beatles (artist), Jeffrey Jones (compilation producer), Allan Rouse (compilation producer), Paul Hicks (mastering engineer), Sean Magee (mastering engineer), Guy Massey (mastering engineer), Sam Okell (mastering engineer), Steve Rooke (mastering engineer)",True
2011,Best Improvised Jazz Solo,A Change Is Gonna Come,Herbie Hancock (soloist),True
2011,Best Instrumental Arrangement,Carlos,Vincent Mendoza (arranger),True
2011,Best Instrumental Arrangement with Accompanying Vocals,Baba Yetu,Christopher Tin,True
2011,Best Instrumental Composition,The Path Among The Trees,Billy Childs (composer),True
2011,Best Instrumental Soloist Performance (without orchestra),Messiaen: Livre Du Saint-Sacrement,"Stephen Roessner (engineer/mixer), Daniel Sullivan (producer), Paul Jacobs (soloist), Isabelle Demers (producer)",True
2011,Best Instrumental Soloist(s) Performance (with orchestra),Mozart: Piano Concertos Nos. 23 & 24,"The Cleveland Orchestra (artist), Mitsuko Uchida (artist), Everett Porter (producer), Brad Michel (engineer/mixer)",True
2011,"Best Jazz Instrumental Album, Individual or Group",Moody 4B,"Jonathan Rosenberg (engineer/mixer), James Moody (artist), Michael Patterson (producer)",True
2011,Best Jazz Vocal Album,Eleanora Fagan (1915-1959): To Billie With Love From Dee Dee,"Al Schmitt (engineer/mixer), Dee Dee Bridgewater (artist/producer)",True
2011,Best Large Jazz Ensemble Album,Mingus Big Band Live At Jazz Standard,"Tom Swift (engineer/mixer), Duke Markos (engineer/mixer), Mingus Big Band (artist), Seth Abramson (producer)",True
2011,Best Latin Jazz Album,,"Orestes Ávila (engineer/mixer), Chucho Valdés (artist), The Afro-Cuban Messengers (artist)",True
2011,Best Latin Pop Album,Paraiso Express,"Dan Warner (engineer/mixer), Andrés Saavedrá (engineer/mixer), Lee Levin (engineer/mixer), Alejandro Sanz (artist), Tomas Torres (producer), Bob Clearmountain (engineer/mixer)",True
2011,"Best Latin Rock, Alternative or Urban Album",El Existential,"Grupo Fantasma (artist/engineer/mixer), Brendan Bourke (engineer/mixer)",True
2011,Best Long Form Music Video,When You're Strange,"Tom DiCillo (video director), John Beug (video producer), Jeff Jampol (video producer), Peter Jankowski (video producer), Dick Wolf (video producer)",True
2011,Best Long Form Music Video,Rush: Beyond the Lighted Stage,"Rush, Sam Dunn (video director/video producer), Scot McFadyen (video director/video producer)",False
2011,Best Long Form Music Video,The White Stripes Under Great White Northern Lights,"The White Stripes, Emmett Malloy (video director), Ian Montone (video producer), Mike Sarkissian (video producer)",False
2011,Best Male Country Vocal Performance,'Til Summer Comes Around,Keith Urban (artist),True
2011,Best Male Pop Vocal Performance,Just the Way You Are.,Bruno Mars,True
2011,Best Male Pop Vocal Performance,Half of My Heart.,John Mayer,False
2011,Best Male Pop Vocal Performance,This Is It (Posthumously).,Michael Jackson,False
2011,Best Male R&B Vocal Performance,There Goes My Baby,Usher Raymond (artist),True
2011,Best Metal Performance,El Dorado,Iron Maiden (artist),True
2011,Best Musical Album for Children,Tomorrow's Children,"David Bernz (producer), Daniel Einbender (producer), Pete Seeger (artist), Travis Jeffery (producer)",True
2011,Best Musical Show Album,American Idiot - Featuring Green Day,"Billie Joe Armstrong (producer), Chris Dugan (engineer/mixer), Chris Lord-Alge (engineer/mixer)",True
2011,Best Native American Music Album,2010 Gathering Of Nations Pow Wow: A Spirit's Dance (Various Artists),"Derek Mathews (producer), Lita Mathews (producer), Evren Goknar (engineer/mixer), Melonie Mathews (producer)",True
2011,Best New Age Album,Miho: Journey To The Mountain,"Akira Kato (engineer/mixer), Dixon Van Winkle (producer/engineer/mixer), Paul Winter Consort (artist)",True
2011,Best New Artist,Esperanza Spalding,,True
2011,Best New Artist,Florence and the Machine,,False
2011,Best New Artist,Mumford & Sons,,False
2011,Best Norteño Album,Classic,"Alejandro Gulmar (engineer/mixer), Oscar González (engineer/mixer), Marco Gamboa (engineer/mixer), Ramón Ayala (producer), Edgar Cavazos (engineer/mixer), Intocable (artist), Chuy Flores (engineer/mixer)",True
2011,Best Opera Recording,Saariaho: L'Amour De Loin,"Deutsches Symphonie-Orchester Berlin (artist), Rundfunkchor Berlin (artist), Tobias Lehmann (engineer/mixer), Marie-Ange Todorovitch (soloist), Kent Nagano (conductor), Martin Sauer (producer), Daniel Belcher (soloist), Ekaterina Lekhina (soloist)",True
2011,Best Orchestral Performance,Daugherty: Metropolis Symphony; Deus Ex Machina,"Nashville Symphony (artist), Dirk Sobotka (engineer/mixer), Giancarlo Guerrero (conductor), Blanton Alspaugh (producer), Marc Donahue (engineer/mixer), John Hill (engineer/mixer)",True
2011,Best Pop Collaboration with Vocals,Imagine (Also featuring Konono N°1).,"India Arie, Jeff Beck, Herbie Hancock, Pink, Oumou Sangare, Seal",True
2011,Best Pop Collaboration with Vocals,If It Wasn't For Bad.,"Elton John, Leon Russell",False
2011,Best Pop Collaboration with Vocals,California Gurls.,"Snoop Dogg, Katy Perry",False
2011,Best Pop Instrumental Album,Take Your Pick,"Nick Sparks (engineer/mixer), Hiroyuki Kobayashi (engineer/mixer), Tak Matsumoto (artist/producer), Larry Carlton (artist/producer)",True
2011,Best Pop Instrumental Performance,Nessun Dorma,Jeff Beck (artist),True
2011,Best Pop Performance by a Duo or Group with Vocals,Hey Soul Sister (Live).,Train,True
2011,Best Pop Performance by a Duo or Group with Vocals,Misery.,Maroon 5,False
2011,Best Pop Performance by a Duo or Group with Vocals,Babyfather.,Sade,False
2011,Best Pop Vocal Album,The Fame Monster.,Lady Gaga,True
2011,Best Pop Vocal Album,My World 2.0.,Justin Bieber,False
2011,Best Pop Vocal Album,I Dreamed a Dream.,Susan Boyle,False
2011,Best Pop/Contemporary Gospel Album,Love God. Love People.,"James Wadell (engineer/mixer), Israel Houghton (artist/producer), Aaron Lindsey (producer), Tommy Sims (producer/engineer/mixer), Danny Duncan (producer)",True
2011,Best R&B Album,Wake Up!,"John Legend, The Roots",True
2011,Best R&B Album,Another Round.,Jaheim,False
2011,Best R&B Album,The Love & War Masterpeace.,Raheem DeVaughn,False
2011,Best R&B Performance by a Duo or Group with Vocals,Soldier of Love,Sade,True
2011,Best R&B Performance by a Duo or Group with Vocals,LOVE,"Chuck Brown, Jill Scott, Marcus Miller",False
2011,Best R&B Performance by a Duo or Group with Vocals,You've Got a Friend,"Ronald Isley, Aretha Franklin",False
2011,Best R&B Song,Shine.,John Legend (Songwriter),True
